,date,time,test,negative,confirmed,released,deceased,daily_test,daily_negative,daily_confirmed,daily_released,daily_deceased
56,2020-03-16,0,274504,251297,8236,1137,75,6292,7519,110,303,0
57,2020-03-17,0,286716,261105,8320,1401,81,12212,9808,84,264,6
58,2020-03-18,0,295647,270888,8413,1540,84,8931,9783,93,139,3
59,2020-03-19,0,307024,282555,8565,1947,91,11377,11667,152,407,7
60,2020-03-20,0,316664,292487,8652,2233,94,9640,9932,87,286,3
61,2020-03-21,0,327509,303006,8799,2612,102,10845,10519,147,379,8
62,2020-03-22,0,331780,308343,8897,2909,104,4271,5337,98,297,2
63,2020-03-23,0,338036,315447,8961,3166,111,6256,7104,64,257,7
64,2020-03-24,0,348582,324105,9037,3507,120,10546,8658,76,341,9
65,2020-03-25,0,357896,334481,9137,3730,126,9314,10376,100,223,6
66,2020-03-26,0,364942,341332,9241,4144,131,7046,6851,104,414,5
67,2020-03-27,0,376961,352410,9332,4528,139,12019,11078,91,384,8
68,2020-03-28,0,387925,361883,9478,4811,144,10964,9473,146,283,5
69,2020-03-29,0,394141,369530,9583,5033,152,6216,7647,105,222,8
70,2020-03-30,0,395194,372002,9661,5228,158,1053,2472,78,195,6
71,2020-03-31,0,410564,383886,9786,5408,162,15370,11884,125,180,4
72,2020-04-01,0,421547,395075,9887,5567,165,10983,11189,101,159,3
73,2020-04-02,0,431743,403882,9976,5828,169,10196,8807,89,261,4
74,2020-04-03,0,443273,414303,10062,6021,174,11530,10421,86,193,5
75,2020-04-04,0,455032,424732,10156,6325,177,11759,10429,94,304,3
76,2020-04-05,0,461233,431425,10237,6463,183,6201,6693,81,138,6
77,2020-04-06,0,466804,437225,10284,6598,186,5571,5800,47,135,3
78,2020-04-07,0,477304,446323,10331,6694,192,10500,9098,47,96,6
79,2020-04-08,0,486003,457761,10384,6776,200,8699,11438,53,82,8
80,2020-04-09,0,494711,468779,10423,6973,204,8708,11018,39,197,4
81,2020-04-10,0,503051,477303,10450,7117,208,8340,8524,27,144,4
82,2020-04-11,0,510479,485929,10480,7243,211,7428,8626,30,126,3
83,2020-04-12,0,514621,490321,10512,7368,214,4142,4392,32,125,3
84,2020-04-13,0,518743,494815,10537,7447,217,4122,4494,25,79,3
85,2020-04-14,0,527438,502223,10564,7534,222,8695,7408,27,87,5
86,2020-04-15,0,534552,508935,10591,7616,225,7114,6712,27,82,3
87,2020-04-16,0,538775,513894,10613,7757,229,4223,4959,22,141,4
88,2020-04-17,0,546463,521642,10635,7829,230,7688,7748,22,72,1
89,2020-04-18,0,554834,530631,10653,7937,232,8371,8989,18,108,2
90,2020-04-19,0,559109,536205,10661,8042,234,4275,5574,8,105,2
91,2020-04-20,0,563035,540380,10674,8114,236,3926,4175,13,72,2
92,2020-04-21,0,571014,547610,10683,8213,237,7979,7230,9,99,1
93,2020-04-22,0,577959,555144,10694,8277,238,6945,7534,11,64,1
94,2020-04-23,0,583971,563130,10702,8411,240,6012,7986,8,134,2
95,2020-04-24,0,589520,569212,10708,8501,240,5549,6082,6,90,0
96,2020-04-25,0,595161,575184,10718,8635,240,5641,5972,10,134,0
97,2020-04-26,0,598285,578558,10728,8717,242,3124,3374,10,82,2
98,2020-04-27,0,601660,582027,10738,8764,243,3375,3469,10,47,1
99,2020-04-28,0,608514,588559,10752,8854,244,6854,6532,14,90,1
100,2020-04-29,0,614197,595129,10761,8922,246,5683,6570,9,68,2
101,2020-04-30,0,619881,600482,10765,9059,247,5684,5353,4,137,1
102,2020-05-01,0,623069,603610,10774,9072,248,3188,3128,9,13,1
103,2020-05-02,0,627562,608286,10780,9123,250,4493,4676,6,51,2
104,2020-05-03,0,630973,611592,10793,9183,250,3411,3306,13,60,0
105,2020-05-04,0,633921,614944,10801,9217,252,2948,3352,8,34,2
106,2020-05-05,0,640237,620575,10804,9283,254,6316,5631,3,66,2
107,2020-05-06,0,643095,624280,10806,9333,255,2858,3705,2,50,1
108,2020-05-07,0,649388,630149,10810,9419,256,6293,5869,4,86,1
109,2020-05-08,0,654863,635174,10822,9484,256,5475,5025,12,65,0
110,2020-05-09,0,660030,640037,10840,9568,256,5167,4863,18,84,0
111,2020-05-10,0,663886,642884,10874,9610,256,3856,2847,34,42,0
112,2020-05-11,0,668492,646661,10909,9632,256,4606,3777,35,22,0
113,2020-05-12,0,680890,653624,10936,9670,258,12398,6963,27,38,2
114,2020-05-13,0,695920,665379,10962,9695,259,15030,11755,26,25,1
115,2020-05-14,0,711484,679771,10991,9762,260,15564,14392,29,67,1
116,2020-05-15,0,726747,695854,11018,9821,260,15263,16083,27,59,0
117,2020-05-16,0,740645,711265,11037,9851,262,13898,15411,19,30,2
118,2020-05-17,0,747653,718943,11050,9888,262,7008,7678,13,37,0
119,2020-05-18,0,753211,726053,11065,9904,263,5558,7110,15,16,1
120,2020-05-19,0,765574,737571,11078,9938,263,12363,11518,13,34,0
121,2020-05-20,0,776433,748972,11110,10066,263,10859,11401,32,128,0
122,2020-05-21,0,788684,759473,11122,10135,264,12251,10501,12,69,1
123,2020-05-22,0,802418,770990,11142,10162,264,13734,11517,20,27,0
124,2020-05-23,0,814420,781686,11165,10194,266,12002,10696,23,32,2
125,2020-05-24,0,820289,788766,11190,10213,266,5869,7080,25,19,0
126,2020-05-25,0,826437,796142,11206,10226,267,6148,7376,16,13,1
127,2020-05-26,0,839475,806206,11225,10275,269,13038,10064,19,49,2
128,2020-05-27,0,852876,820550,11265,10295,269,13401,14344,40,20,0
129,2020-05-28,0,868666,834952,11344,10340,269,15790,14402,79,45,0
130,2020-05-29,0,885120,849161,11402,10363,269,16454,14209,58,23,0
131,2020-05-30,0,902901,865162,11441,10398,269,17781,16001,39,35,0
132,2020-05-31,0,910822,876060,11468,10405,270,7921,10898,27,7,1
133,2020-06-01,0,921391,885830,11503,10422,271,10569,9770,35,17,1
134,2020-06-02,0,939851,899388,11541,10446,272,18460,13558,38,24,1
135,2020-06-03,0,956852,917397,11590,10467,273,17001,18009,49,21,1
136,2020-06-04,0,973858,934030,11629,10499,273,17006,16633,39,32,0
137,2020-06-05,0,990960,950526,11668,10506,273,17102,16496,39,7,0
138,2020-06-06,0,1005305,965632,11719,10531,273,14345,15106,51,25,0
139,2020-06-07,0,1012769,974512,11776,10552,273,7464,8880,57,21,0
140,2020-06-08,0,1018214,982026,11814,10563,273,5445,7514,38,11,0
141,2020-06-09,0,1035997,996686,11852,10589,274,17783,14660,38,26,1
142,2020-06-10,0,1051972,1013847,11902,10611,276,15975,17161,50,22,2
143,2020-06-11,0,1066888,1029447,11947,10654,276,14916,15600,45,43,0
144,2020-06-12,0,1081487,1045240,12003,10669,277,14599,15793,56,15,1
145,2020-06-13,0,1094704,1059301,12051,10691,277,13217,14061,48,22,0
146,2020-06-14,0,1100328,1066887,12085,10718,277,5624,7586,34,27,0
147,2020-06-15,0,1105719,1072805,12121,10730,277,5391,5918,36,12,0
148,2020-06-16,0,1119767,1084980,12155,10760,278,14048,12175,34,30,1
149,2020-06-17,0,1132823,1099136,12198,10774,279,13056,14156,43,14,1
150,2020-06-18,0,1145712,1111741,12257,10800,280,12889,12605,59,26,1
151,2020-06-19,0,1158063,1124567,12306,10835,280,12351,12826,49,35,0
152,2020-06-20,0,1170901,1137058,12373,10856,280,12838,12491,67,21,0
153,2020-06-21,0,1176463,1143971,12421,10868,280,5562,6913,48,12,0
154,2020-06-22,0,1182066,1150225,12438,10881,280,5603,6254,17,13,0
155,2020-06-23,0,1196012,1161250,12484,10908,281,13946,11025,46,27,1
156,2020-06-24,0,1208597,1175817,12535,10930,281,12585,14567,51,22,0
157,2020-06-25,0,1220478,1189015,12563,10974,282,11881,13198,28,44,1
158,2020-06-26,0,1232315,1200885,12602,11172,282,11837,11870,39,198,0
159,2020-06-27,0,1243780,1211261,12653,11317,282,11465,10376,51,145,0
160,2020-06-28,0,1251695,1219975,12715,11364,282,7915,8714,62,47,0
161,2020-06-29,0,1259954,1228698,12757,11429,282,8259,8723,42,65,0
162,2020-06-30,0,1273766,1240157,12800,11537,282,13812,11459,43,108,0
